epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,1234.12,0.69418,0.6535,0.99839,0.94352,0.92335,0.96134,0.85009,0.48665,0.39502,0.75123,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,1251.88,0.69039,0.65919,0.99941,0.9467,0.91069,0.96054,0.84782,0.48333,0.393,0.7509,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,1269.4,0.68541,0.64229,0.99212,0.95632,0.9135,0.96386,0.85585,0.47611,0.38549,0.74545,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,1287.46,0.67446,0.64103,0.99287,0.95365,0.91069,0.96096,0.85587,0.46667,0.38204,0.7428,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,1306.38,0.68224,0.6462,0.9994,0.95965,0.91069,0.96309,0.85756,0.46707,0.37825,0.74261,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,1324.49,0.67313,0.63187,0.99292,0.94546,0.91421,0.95878,0.8538,0.47243,0.37773,0.74278,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,1343.18,0.67686,0.62958,0.99312,0.9481,0.91702,0.96509,0.86156,0.46502,0.37732,0.74313,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,1362.79,0.68089,0.64478,1.0029,0.95139,0.92222,0.96369,0.85965,0.46197,0.38102,0.74337,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,1383,0.67191,0.62683,0.99184,0.9507,0.92211,0.96126,0.859,0.45446,0.37163,0.73634,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,1404.28,0.66555,0.6305,0.98952,0.95159,0.9262,0.96451,0.8644,0.45176,0.37037,0.73692,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,1424.65,0.67125,0.6319,0.98975,0.96417,0.91842,0.96641,0.86406,0.45302,0.3724,0.74167,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,1444.49,0.67285,0.6379,0.98904,0.96624,0.92053,0.96987,0.86412,0.45926,0.37323,0.74204,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,1464.39,0.66638,0.62492,0.99126,0.95949,0.92827,0.96777,0.8644,0.45277,0.36847,0.73731,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,1484.1,0.66491,0.62193,0.98811,0.96759,0.92376,0.96804,0.87135,0.44456,0.36172,0.73646,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,1503.33,0.64777,0.61709,0.98172,0.94653,0.94093,0.9689,0.86937,0.45022,0.36318,0.73761,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,1524.14,0.65379,0.61463,0.98342,0.9586,0.92686,0.96616,0.86863,0.4467,0.36234,0.73483,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,1542.68,0.66637,0.63378,0.98937,0.96973,0.92369,0.96764,0.86951,0.44577,0.36315,0.73763,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,1562.99,0.64204,0.61049,0.9808,0.96337,0.92468,0.96562,0.87093,0.43989,0.3582,0.7353,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,1580.58,0.64538,0.60945,0.98024,0.96068,0.92772,0.96461,0.8724,0.43806,0.35855,0.73301,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,1598.51,0.64438,0.60943,0.97766,0.96488,0.92686,0.96705,0.87401,0.4379,0.35445,0.73183,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,1615.32,0.64644,0.5987,0.98001,0.96033,0.93038,0.96643,0.87188,0.44265,0.35524,0.73566,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,1632.6,0.63821,0.60881,0.97544,0.96398,0.92227,0.96572,0.87498,0.43645,0.35152,0.73306,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,1650.36,0.63768,0.59837,0.97906,0.96965,0.92105,0.96644,0.87712,0.4302,0.34828,0.73138,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,1670.96,0.64305,0.60348,0.98482,0.96689,0.92416,0.96705,0.87811,0.42723,0.34609,0.72988,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,1719.84,0.55851,0.50886,0.93198,0.95698,0.92302,0.96412,0.86601,0.44708,0.36699,0.73112,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,1737.56,0.55352,0.47761,0.93203,0.9505,0.92194,0.96298,0.86262,0.44581,0.37582,0.7306,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,1757.55,0.54537,0.47593,0.92682,0.95784,0.92264,0.96467,0.86302,0.44504,0.37365,0.73026,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,1776.27,0.53643,0.46376,0.92468,0.95051,0.93195,0.96558,0.86476,0.44228,0.36666,0.72918,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,1793.43,0.54114,0.46334,0.92811,0.95874,0.93153,0.96622,0.86809,0.43914,0.36256,0.72793,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,1810.1,0.52813,0.45299,0.92599,0.95673,0.93319,0.96671,0.87005,0.43621,0.3601,0.72825,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,1826.77,0.53348,0.45551,0.92248,0.96296,0.93253,0.9696,0.87034,0.44142,0.35847,0.72948,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,1843.9,0.51945,0.44728,0.91707,0.95182,0.93812,0.96943,0.87474,0.4325,0.35341,0.7276,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,1860.52,0.525,0.44895,0.9213,0.95327,0.93671,0.96776,0.87532,0.42927,0.35084,0.72551,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,1877.42,0.52296,0.44783,0.91507,0.9595,0.9339,0.97005,0.87445,0.4301,0.35144,0.72599,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
